Anio,Nomcultivo,Variedad,Nomunidad,TipoTecnologia,TipoProduccion,TipoMercado,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
1980,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"3,250.00","2,885.00",0,"28,377.00",9.84,20,567.54
1981,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"3,190.00","3,121.00",0,"28,444.00",9.11,22.32,634.81
1982,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"3,190.00","3,131.00",0,"29,018.00",9.27,25.03,726.23
1983,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,840.00","1,503.00",0,"11,765.00",7.83,31.5,370.6
1984,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"3,190.00","3,131.00",0,"24,155.00",7.71,79.82,"1,928.05"
1985,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"3,278.00","3,239.00",0,"25,257.00",7.8,126,"3,182.38"
1986,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,100.00",914,0,"7,518.00",8.23,160.71,"1,208.22"
1987,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,183.00",906,0,"8,911.00",9.84,429.29,"3,825.44"
1988,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,619.00","1,044.00",0,"12,975.00",12.43,"1,036.32","13,446.26"
1989,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,376.00",917,0,"9,020.00",9.84,"1,054.35","9,510.20"
1990,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,844,688,0,"6,769.00",9.84,"1,124.07","7,608.80"
1991,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,923,786,0,"7,486.00",9.52,"1,345.01","10,068.71"
1992,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,839,645,0,"6,574.00",10.19,"1,366.26","8,981.81"
1993,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,738,660,0,"7,390.00",11.2,"1,259.20","9,305.49"
1994,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,687,674,0,"7,885.00",11.7,"1,395.73","11,005.32"
1995,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,696,640,0,"6,650.00",10.39,"1,657.58","11,022.88"
1996,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,040.00",613,0,"6,535.00",10.66,"1,657.00","10,828.50"
1997,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,743,615,0,"6,739.00",10.96,"2,720.48","18,333.31"
1998,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,595,590,0,"4,985.00",8.45,"3,923.79","19,560.10"
1999,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,606,604,0,"5,565.00",9.21,"4,737.88","26,366.29"
2000,Aguacate,Aguacate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,654,619,0,"5,213.00",8.42,"5,096.91","26,570.18"
