Data Type,Year,Month,Quantity Description,General First Unit of Quantity,Suppressed
General First Unit of Quantity,1990,4,kilograms,81,0
General First Unit of Quantity,1990,8,kilograms,3495,0
General First Unit of Quantity,1990,9,kilograms,4407,0
General First Unit of Quantity,1990,10,kilograms,11132,0
General First Unit of Quantity,1990,12,kilograms,2248,0
General First Unit of Quantity,1991,1,kilograms,5772,0
General First Unit of Quantity,1991,4,kilograms,24657,0
General First Unit of Quantity,1991,5,kilograms,2658,0
General First Unit of Quantity,1991,6,kilograms,34288,0
General First Unit of Quantity,1991,7,kilograms,38347,0
General First Unit of Quantity,1991,8,kilograms,31121,0
General First Unit of Quantity,1991,9,kilograms,39460,0
General First Unit of Quantity,1991,10,kilograms,54446,0
General First Unit of Quantity,1991,11,kilograms,46936,0
General First Unit of Quantity,1991,12,kilograms,55443,0
General First Unit of Quantity,1992,1,kilograms,76204,0
General First Unit of Quantity,1992,2,kilograms,59411,0
General First Unit of Quantity,1992,3,kilograms,75222,0
General First Unit of Quantity,1992,4,kilograms,65415,0
General First Unit of Quantity,1992,5,kilograms,60910,0
General First Unit of Quantity,1992,6,kilograms,69211,0
General First Unit of Quantity,1992,7,kilograms,67333,0
General First Unit of Quantity,1992,8,kilograms,68953,0
General First Unit of Quantity,1992,9,kilograms,88059,0
General First Unit of Quantity,1992,10,kilograms,74311,0
General First Unit of Quantity,1992,11,kilograms,74993,0
General First Unit of Quantity,1992,12,kilograms,80356,0
General First Unit of Quantity,1993,1,kilograms,38497,0
General First Unit of Quantity,1993,2,kilograms,41966,0
General First Unit of Quantity,1993,3,kilograms,50607,0
General First Unit of Quantity,1993,4,kilograms,45065,0
General First Unit of Quantity,1993,5,kilograms,44933,0
General First Unit of Quantity,1993,6,kilograms,34918,0
General First Unit of Quantity,1993,7,kilograms,34210,0
General First Unit of Quantity,1993,8,kilograms,30741,0
General First Unit of Quantity,1993,9,kilograms,28100,0
General First Unit of Quantity,1993,10,kilograms,36632,0
General First Unit of Quantity,1993,11,kilograms,9865,0
General First Unit of Quantity,1993,12,kilograms,91243,0
General First Unit of Quantity,1994,1,kilograms,65832,0
General First Unit of Quantity,1994,2,kilograms,65890,0
General First Unit of Quantity,1994,3,kilograms,74314,0
General First Unit of Quantity,1994,4,kilograms,70104,0
General First Unit of Quantity,1994,5,kilograms,56694,0
General First Unit of Quantity,1994,6,kilograms,67800,0
General First Unit of Quantity,1994,7,kilograms,67257,0
General First Unit of Quantity,1994,8,kilograms,62686,0
General First Unit of Quantity,1994,9,kilograms,55152,0
General First Unit of Quantity,1994,10,kilograms,30863,0
General First Unit of Quantity,1995,4,kilograms,5117,0
General First Unit of Quantity,1995,5,kilograms,95346,0
General First Unit of Quantity,1995,6,kilograms,77070,0
General First Unit of Quantity,1995,7,kilograms,75508,0
General First Unit of Quantity,1995,8,kilograms,77848,0
General First Unit of Quantity,1995,9,kilograms,74137,0
General First Unit of Quantity,1995,10,kilograms,78729,0
General First Unit of Quantity,1995,11,kilograms,92341,0
General First Unit of Quantity,1995,12,kilograms,113727,0
General First Unit of Quantity,1996,1,kilograms,105765,0
General First Unit of Quantity,1996,2,kilograms,131266,0
General First Unit of Quantity,1996,3,kilograms,166071,0
General First Unit of Quantity,1996,4,kilograms,174335,0
General First Unit of Quantity,1996,5,kilograms,208809,0
General First Unit of Quantity,1996,6,kilograms,138170,0
General First Unit of Quantity,1996,7,kilograms,140472,0
General First Unit of Quantity,1996,8,kilograms,143256,0
General First Unit of Quantity,1996,9,kilograms,127746,0
General First Unit of Quantity,1996,10,kilograms,161444,0
General First Unit of Quantity,1996,11,kilograms,151084,0
General First Unit of Quantity,1996,12,kilograms,142123,0
General First Unit of Quantity,1997,1,kilograms,145253,0
General First Unit of Quantity,1997,2,kilograms,129924,0
General First Unit of Quantity,1997,3,kilograms,159360,0
General First Unit of Quantity,1997,4,kilograms,168075,0
General First Unit of Quantity,1997,5,kilograms,148058,0
General First Unit of Quantity,1997,6,kilograms,150050,0
General First Unit of Quantity,1997,7,kilograms,162696,0
General First Unit of Quantity,1997,8,kilograms,159379,0
General First Unit of Quantity,1997,9,kilograms,163556,0
General First Unit of Quantity,1997,10,kilograms,229716,0
General First Unit of Quantity,1997,11,kilograms,996097,0
General First Unit of Quantity,1997,12,kilograms,1498168,0
General First Unit of Quantity,1998,1,kilograms,1791371,0
General First Unit of Quantity,1998,2,kilograms,2072737,0
General First Unit of Quantity,1998,3,kilograms,379854,0
General First Unit of Quantity,1998,4,kilograms,119940,0
General First Unit of Quantity,1998,5,kilograms,159046,0
General First Unit of Quantity,1998,6,kilograms,146212,0
